state,subject_race,relative_diff,CI
AZ,black,1.9371624750827594,"[1.9313695233882777, 1.942932851118813]"
AZ,hispanic,1.7457727195456474,"[1.7430739930969334, 1.7487209594142017]"
SC,black,1.88437789320328,"[1.8812148073468788, 1.8874288001402189]"
SC,hispanic,1.8052408265969524,"[1.7996460270973562, 1.8111376040918425]"
TX,black,1.9204748507589056,"[1.9152393120934115, 1.9257210688671733]"
TX,hispanic,1.7367144614106458,"[1.73401814428349, 1.7396108249156126]"
CA,black,1.8833652097230722,"[1.8782070416505676, 1.8884897711542186]"
CA,hispanic,1.7475791057334757,"[1.7449510382835394, 1.750468575098264]"
CT,black,1.9338374012037767,"[1.9295001889112067, 1.9383586775322368]"
CT,hispanic,1.7470251400832602,"[1.7429202095170186, 1.7510792768811374]"
IL,black,1.8956109493410074,"[1.8916452158180908, 1.8994767150712315]"
IL,hispanic,1.762307922869547,"[1.7581033054301995, 1.76602486896547]"
