state,subject_race,relative_diff,CI
AZ,black,1.5970256730663213,"[1.591955955398065, 1.6017058058517164]"
AZ,hispanic,1.754985882523774,"[1.7519431138572046, 1.7578577876988242]"
SC,black,1.5532717714002753,"[1.5504996295188096, 1.5559987154761608]"
SC,hispanic,1.8145902137244894,"[1.8085287804103758, 1.8207836299846443]"
TX,black,1.583150790544093,"[1.578956359311796, 1.5874995417643034]"
TX,hispanic,1.745863049563899,"[1.7429431482867364, 1.7487734732299058]"
CA,black,2.16949708399882,"[2.1637206733522656, 2.175249412476498]"
CA,hispanic,1.7320180940724756,"[1.72926238698631, 1.7348436144193453]"
CT,black,2.227593062556222,"[2.222741043582298, 2.2329035290281194]"
CT,hispanic,1.731416394098235,"[1.7274246159192794, 1.7357775373087905]"
IL,black,2.183944535716565,"[2.1794484767610407, 2.1887659218228217]"
IL,hispanic,1.7465730755468036,"[1.7426772858300017, 1.7505682799965185]"
